"COND","CITY","YEAR","SLIM","SIGN","LGHT","BLTE","TFFC","EXPR","WGHT"
2,12,1,7,4,8,10,2,362.857142857143,2.33772652388797
2,12,1,7,4,5,16,2,618.952380952381,2.66711615388969
2,12,1,7,1,8,54,3,1204.82142857143,1.60467083132146
2,12,1,7,1,8,54,3,1204.82142857143,1.60467083132146
2,12,1,7,1,8,54,3,1204.82142857143,1.60467083132146
2,12,1,7,1,8,54,3,1204.82142857143,1.60467083132146
2,12,1,7,1,8,54,3,1204.82142857143,1.60467083132146
2,12,1,7,1,8,54,3,1204.82142857143,1.60467083132146
2,12,1,7,1,8,54,3,1204.82142857143,1.60467083132146
23,12,1,7,1,8,24,2,726.428571428571,2.05659625348744
2,12,1,11,1,33,41,4,440,1.22888352597485
23,12,1,7,1,20,14,3,1497.02380952381,1.90056860135855
2,12,1,7,1,14,10,2,181.214285714286,2.61707523245985
2,12,1,7,1,5,16,3,182.047619047619,2.22550904081547
2,12,1,7,1,25,58,4,80.8095238095238,2.0151171579743
2,12,1,7,1,29,16,2,401.041666666667,2.22550904081547
2,12,1,7,4,5,56,3,286.095238095238,2.09017217123333
3,12,1,11,1,29,41,4,1488.125,1.22888352597485
2,12,1,7,1,10,24,2,262.321428571429,2.05659625348744
2,12,1,7,1,10,24,2,262.321428571429,2.05659625348744
9,12,1,7,1,4,16,2,456.428571428571,2.22550904081547
2,12,1,8,4,14,55,2,219.678571428571,4.69090909090909
2,12,1,7,4,9,16,2,109.285714285714,2.66711615388969
2,12,1,7,1,8,22,2,720,1.72051358614512
2,12,1,7,4,16,56,3,188.571428571429,2.09017217123333
2,12,1,7,4,1,56,3,153.571428571429,2.09017217123333
9,12,1,7,1,29,26,2,719.583333333333,1.87531450936539
9,12,1,7,3,4,16,2,5213.80952380952,2.7520209677788
2,12,1,7,3,34,27,4,354.083333333333,2.71578947368421
