Mag,Hora Local,Latitud,Longitud,Prof,Region,Status,Ciudad mas cercana,Hora UTC,Last Update
,,,,(km),,,,,
4.1,28/04/2016 21:37,1.54ø S,80.86ø W,10,Near Coast of Ecuador,M,"6.36km Puerto Lopez,Manabi",29/04/2016 2:37,29/04/2016 2:47
5,28/04/2016 20:50,1.50ø S,80.95ø W,5,Near Coast of Ecuador,M,"17.25km Puerto Lopez,Manabi",29/04/2016 1:50,29/04/2016 1:57
3.6,28/04/2016 20:23,1.54ø S,81.00ø W,1,Off Coast of Ecuador,M,"21.79km Puerto Lopez,Manabi",29/04/2016 1:23,29/04/2016 1:27
3.4,28/04/2016 19:49,1.62ø S,80.94ø W,4,Near Coast of Ecuador,M,"16.76km Puerto Lopez,Manabi",29/04/2016 0:49,29/04/2016 20:12
4.5,28/04/2016 16:42,0.38ø N,82.05ø W,5,Off Coast of Ecuador,M,"208.99km Jama,Manabi",28/04/2016 21:42,28/04/2016 21:49
4.2,28/04/2016 15:24,1.55ø S,80.85ø W,10,Near Coast of Ecuador,M,"5.07km Puerto Lopez,Manabi",28/04/2016 20:24,28/04/2016 20:29
3.7,28/04/2016 15:19,1.59ø S,80.99ø W,5,Near Coast of Ecuador,M,"21.01km Puerto Lopez,Manabi",28/04/2016 20:19,28/04/2016 20:49
3.7,28/04/2016 14:48,0.38ø S,80.92ø W,8,Near Coast of Ecuador,M,"60.89km Bahia de Caraquez,Manabi",28/04/2016 19:48,28/04/2016 20:50
3.7,28/04/2016 14:43,1.76ø S,81.18ø W,10,Off Coast of Ecuador,M,"47.62km Puerto Lopez,Manabi",28/04/2016 19:43,28/04/2016 20:47
3.6,28/04/2016 14:17,0.41ø S,81.12ø W,5,Off Coast of Ecuador,M,"77.06km Manta,Manabi",28/04/2016 19:17,28/04/2016 19:21
3.7,28/04/2016 13:58,1.64ø S,81.11ø W,5,Off Coast of Ecuador,M,"35.28km Puerto Lopez,Manabi",28/04/2016 18:58,28/04/2016 19:02
3.5,28/04/2016 13:21,0.45ø N,80.62ø W,10,Near Coast of Ecuador,M,"69.04km Muisne,Esmeraldas",28/04/2016 18:21,29/04/2016 19:03
3.7,28/04/2016 10:05,0.46ø S,80.44ø W,8,Ecuador - Manabi,M,"16.64km San Vicente,Manabi",28/04/2016 15:05,28/04/2016 15:14
4.3,28/04/2016 8:47,1.55ø S,80.94ø W,10,Near Coast of Ecuador,M,"15.07km Puerto Lopez,Manabi",28/04/2016 13:47,28/04/2016 13:52
4.2,28/04/2016 7:33,0.25ø N,80.44ø W,1,Near Coast of Ecuador,M,"47.49km Pedernales,Manabi",28/04/2016 12:33,28/04/2016 12:39
4.6,28/04/2016 5:33,1.31ø S,81.09ø W,10,Off Coast of Ecuador,M,"41.76km Puerto Lopez,Manabi",28/04/2016 10:33,28/04/2016 10:40
3.6,28/04/2016 5:24,1.52ø S,80.94ø W,10,Near Coast of Ecuador,M,"15.53km Puerto Lopez,Manabi",28/04/2016 10:24,28/04/2016 10:30
4,28/04/2016 5:14,0.38ø N,80.40ø W,3,Near Coast of Ecuador,M,"49.44km Muisne,Esmeraldas",28/04/2016 10:14,28/04/2016 10:21
3.9,28/04/2016 5:09,0.37ø N,80.39ø W,4,Near Coast of Ecuador,M,"49.09km Muisne,Esmeraldas",28/04/2016 10:09,28/04/2016 10:14
3.7,28/04/2016 3:45,0.23ø S,80.97ø W,10,Near Coast of Ecuador,M,"74.24km Bahia de Caraquez,Manabi",28/04/2016 8:45,28/04/2016 8:50
3,28/04/2016 3:28,0.47ø S,80.47ø W,7,Near Coast of Ecuador,M,"16.78km San Vicente,Manabi",28/04/2016 8:28,28/04/2016 8:33
3.5,27/04/2016 23:06,1.56ø S,80.88ø W,10,Near Coast of Ecuador,M,"8.42km Puerto Lopez,Manabi",28/04/2016 4:06,28/04/2016 4:11
2.8,27/04/2016 21:24,1.28ø S,78.47ø W,7,Ecuador - Tungurahua,M,"9.03km Pelileo,Tungurahua",28/04/2016 2:24,28/04/2016 2:35
4.4,27/04/2016 18:02,1.27ø S,81.08ø W,10,Ecuador - Manabi,M,"43.99km Puerto Lopez,Manabi",27/04/2016 23:02,27/04/2016 23:18
3.6,27/04/2016 16:54,1.49ø S,81.04ø W,2,Off Coast of Ecuador,M,"27.13km Puerto Lopez,Manabi",27/04/2016 21:54,27/04/2016 22:06
