date_generated,id,congress,chamber,rollnumber,date,keyvote,question,description,yea,nay,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood,geo_mean_probability
2017-05-28 11:50:06,RS1140247,114,Senate,247,2015-07-16,,On the Amendment,"To establish a Federal-State partnership to provide access to high-quality public prekindergarten programs from low-income and moderate-income families to ensure that they enter kindergarten prepared for success, and for other purposes.",,,,,,,,0.035,-0.088,0.459,-0.161,1.0,1.0,-0.388,0.996
2017-05-28 11:50:06,RS1140248,114,Senate,248,2015-07-16,,On the Cloture Motion,An original bill to reauthorize the Elementary and Secondary Education Act of 1965 to ensure that every child achieves.,,,,,,,,0.297,0.846,0.037,0.257,0.056,0.825,-41.323,0.653
2017-05-28 11:50:06,RS1140249,114,Senate,249,2015-07-16,CQ,On Passage of the Bill,An original bill to reauthorize the Elementary and Secondary Education Act of 1965 to ensure that every child achieves.,,,,,,,,0.705,0.356,0.15,0.082,0.294,0.878,-31.368,0.726
2017-05-28 11:50:06,RS1140250,114,Senate,250,2015-07-21,,On Cloture on the Motion to Proceed,A bill to amend the Internal Revenue Code of 1986 to exempt employees with health coverage under TRICARE or the Veterans Administration from being taken into account for purposes of determining the employers to which the employer mandate applies under th Patient Protection and Affordable Care Act.,,,,,,,,0.24,-0.012,-0.12,-0.138,0.683,0.866,-37.366,0.68
2017-05-28 11:50:06,RS1140251,114,Senate,251,2015-07-22,,On Cloture on the Motion to Proceed,A bill to amend the Internal Revenue Code of 1986 to exempt employees with health coverage under TRICARE or the Veterans Administration from being taken into account for purposes of determining the employers to which the employer mandate applies under th Patient Protection and Affordable Care Act.,,,,,,,,-0.194,-0.314,-0.092,-0.139,0.417,0.786,-44.719,0.634
2017-05-28 11:50:06,RS1140252,114,Senate,252,2015-07-24,,On the Motion to Proceed,A bill to amend the Internal Revenue Code of 1986 to exempt employees with health coverage under TRICARE or the Veterans Administration from being taken into account for purposes of determining the employers to which the employer mandate applies under th Patient Protection and Affordable Care Act.,,,,,,,,-0.13,-0.462,-0.048,-0.217,0.077,0.688,-42.769,0.574
2017-05-28 11:50:06,RS1140253,114,Senate,253,2015-07-26,,On the Cloture Motion,To repeal the Patient Protection and Affordable Care Act and the Health Care and Education Reconciliation Act of 2010 entirely.,,,,,,,,0.043,-0.071,-0.449,0.163,1.0,1.0,-0.376,0.996
2017-05-28 11:50:06,RS1140254,114,Senate,254,2015-07-26,,On the Cloture Motion,To reauthorize and reform the Export-Import Bank of the United States.,,,,,,,,0.458,0.02,0.27,0.325,0.462,0.849,-25.483,0.76
2017-05-28 11:50:06,RS1140255,114,Senate,255,2015-07-27,,On the Motion for Attendance,A bill to amend the Internal Revenue Code of 1986 to exempt employees with health coverage under TRICARE or the Veterans Administration from being taken into account for purposes of determining the employers to which the employer mandate applies under th Patient Protection and Affordable Care Act.,,,,,,,,0.499,-0.655,0.131,-0.212,-0.071,0.839,-34.792,0.688
2017-05-28 11:50:06,RS1140256,114,Senate,256,2015-07-27,CQ,On the Amendment,To reauthorize and reform the Export-Import Bank of the United States.,,,,,,,,0.44,-0.003,0.166,0.262,0.552,0.86,-30.273,0.722
2017-05-28 11:50:06,RS1140257,114,Senate,257,2015-07-27,,On the Cloture Motion,In the nature of a substitute.,,,,,,,,-0.179,0.167,-0.056,0.099,0.094,0.691,-54.31,0.561
2017-05-28 11:50:06,RS1140258,114,Senate,258,2015-07-29,,On the Amendment,In the nature of a substitute.,,,,,,,,-0.012,-0.328,-0.017,-0.162,-0.132,0.57,-64.796,0.523
2017-05-28 11:50:06,RS1140259,114,Senate,259,2015-07-29,,On the Cloture Motion,A bill to amend the Internal Revenue Code of 1986 to exempt employees with health coverage under TRICARE or the Veterans Administration from being taken into account for purposes of determining the employers to which the employer mandate applies under th Patient Protection and Affordable Care Act.,,,,,,,,-0.135,-0.341,-0.038,-0.146,0.0,0.65,-60.779,0.545
2017-05-28 11:50:06,RS1140260,114,Senate,260,2015-07-30,CQ,On Passage of the Bill,"An act to authorize funds for Federal-aid highways, highway safety programs, and transit programs, and for other purposes.",,,,,,,,0.035,0.055,-0.014,0.055,-0.235,0.576,-67.051,0.508
