"","V1","V2","V3"
"547",0.00502579,0.999069,0.00261281
"548",-0.00550172,0.998804,-0.0151237
"549",0.0139336,0.999093,0.0151142
"550",-0.0103427,0.999299,-0.0143231
"551",0.00472863,0.999611,-0.00396759
"552",-0.0118504,0.999089,-0.00801374
"553",-0.00131183,0.9986,-0.00531678
"554",-0.0145771,0.999307,-0.0178506
"555",-0.0111692,0.999434,0.00508859
"556",0.0108319,0.999217,0.0120439
"557",-0.0061892,0.999016,-0.0112575
"558",-0.00938312,0.99877,-0.0133404
"559",-0.00591133,0.999416,-0.00482615
"560",-0.00637082,0.999211,-0.00363552
"561",0.0122934,0.999319,-0.00107485
"562",-0.00640858,0.999405,-0.0126255
"563",-0.0135867,0.999377,0.00503686
"564",0.0106277,0.999477,0.0109869
"565",-0.00854771,0.999249,-0.01208
"566",0.00340466,0.999097,0.00886126
"567",-0.0111775,0.999383,-0.0160211
"568",0.0109082,0.999714,0.0160339
"569",0.00301957,0.99898,0.0110227
"570",-0.00765181,0.998953,0.00380936
"571",0.0117346,0.999009,0.00511721
"572",-0.00600957,0.999043,0.00748971
"573",-0.00335421,0.99883,0.000179314
"574",0.00518237,0.999049,-0.0122869
"575",-0.00788476,0.999558,0.0038396
"576",0.0105497,0.999701,0.00696905
"577",0.00603775,0.999038,0.011157
"578",-0.00285275,0.999246,-0.00942926
"579",0.00708585,0.999273,0.0149355
"580",-0.010769,0.999561,-0.0151724
"581",-0.0101311,0.999514,0.00361036
"582",-0.00485074,0.999027,0.0116286
"583",0.00853485,0.9994,-0.00315472
"584",0.00524688,0.999083,0.00662497
"585",0.0106852,0.999062,0.0128252
"586",0.000648515,0.999211,0.00790335
"587",-0.000314777,0.99909,0.00152969
"588",-0.0174491,0.999816,-0.0159068
"589",0.00680269,0.999216,0.00573064
"590",-0.0117219,0.999244,-0.0123066
"591",0.00445997,0.99936,0.0123791
"592",0.0136388,0.999531,-0.00660326
"593",0.00126672,0.999095,0.00705894
"594",-0.00665589,0.998899,-0.0109947
"595",-0.00108167,0.998898,-0.00330496
"596",-0.010162,0.999038,-0.0131689
"597",0.0119885,0.99997,-0.00449099
"598",-0.00527718,0.998343,0.00741073
"599",-0.0127856,0.999408,-0.0152434
"600",-0.0104506,0.999101,-0.0150355
"601",0.0104609,0.999402,-0.00285215
"602",-0.00594425,0.998945,0.00132219
"603",0.00717348,0.999206,0.00311188
"604",-0.00712341,0.999017,-0.012176
"605",0.000955193,0.999105,0.0126315
"606",0.01129,0.999201,0.0128996
"607",0.010946,0.999214,-0.0100826
"608",-0.0105309,0.999001,-0.00989199
"609",-0.0087824,0.999692,-0.00861563
"610",0.0120848,0.999325,-0.0039063
"611",-0.00523128,0.999186,-0.0114828
"612",0.00496668,0.999121,0.00353786
"613",-0.00671476,0.999586,-0.0152325
"614",0.00147675,0.999341,0.00383461
"615",0.0139869,0.999525,-0.00563864
"616",0.00865993,0.999267,-0.00113343
"617",0.00747714,0.999337,0.00654681
"618",-0.0128157,0.999156,-0.00322752
"619",-0.0104058,0.999129,-0.00767308
"620",-0.000423258,0.998974,-0.0034337
"621",0.00889076,0.999034,0.000403348
"622",0.00974416,0.998615,0.00738837
"623",0.0105093,0.999807,0.0121918
"624",-0.00398504,0.999294,0.00919757
"625",-0.00873072,0.999381,0.0060924
"626",0.00615461,0.999215,0.0101598
"627",0.00139736,0.999314,0.00669789
"628",0.00213068,0.999131,-0.0137552
"629",0.00487592,0.998994,0.00867882
"630",-0.00343661,0.998984,-0.00354626
"631",-0.00938052,0.999314,-0.0127117
"632",0.00714254,0.999003,0.011606
"633",0.00874901,0.999127,0.0145564
"634",-0.00775161,0.999041,0.00712116
"635",0.00201404,0.998942,0.00239631
"636",0.00502575,0.999464,0.014939
"637",0.00986028,0.999256,0.0057399
"638",0.00996096,0.999865,-0.00228174
"639",0.00887585,0.999073,-0.00744383
"640",-0.0125722,0.999431,0.0049768
"641",-0.00444984,0.999034,-0.00567956
"642",0.00968024,0.999186,-0.0103785
"643",-0.00996262,0.999299,-0.0142378
"644",0.0084186,0.99916,-0.00589825
"645",0.00350499,0.999142,-0.00789275
"646",-0.0126037,0.999003,-0.0121368
"647",-0.00802715,0.998623,-0.0063748
"648",0.013315,0.999266,0.0162149
"649",0.0112708,0.999139,0.0135631
"650",-0.00220978,0.999016,0.00107891
"651",-0.0127488,0.999346,0.00511268
"652",0.0122646,0.999364,0.0108116
"653",-0.00836856,0.999203,-0.00168887
"654",0.00986307,0.999194,0.0144325
"655",-0.0103098,0.999203,0.00715196
"656",-0.00116619,0.998365,-0.00771875
"657",-0.000969245,0.998844,0.00472114
"658",-0.014235,0.999119,-0.00908363
"659",0.0124827,0.9991,0.00910858
"660",-0.0111127,0.999116,-0.0152229
"661",-0.00116729,0.999545,-0.00675363
"662",0.00210682,0.999229,0.00447443
"663",0.00288625,0.999033,-0.0082523
"664",-0.0128727,0.999029,-0.016254
"665",0.00970122,0.999247,0.00792111
"666",-0.00861908,0.998941,0.00108734
"667",0.0120839,0.999468,0.0129089
"668",0.00101155,0.99926,-0.0139861
"669",-0.00977815,0.999118,0.00061701
"670",-0.00265513,0.999297,-0.0111196
"671",0.00455026,0.999251,0.00301541
"672",0.0130617,0.999218,0.0137531
"673",-0.00966621,0.999118,0.0105102
"674",0.0034211,0.999551,-0.0010952
"675",0.0100858,0.999102,-0.00885942
"676",-0.00135061,0.999041,-0.0049694
"677",0.00592028,0.99923,0.0067527
"678",0.00816816,0.999105,0.00694738
"679",-0.0105577,0.999658,-0.018342
"680",-0.00688727,0.999035,-0.0119637
"681",0.0163715,0.999687,0.0142109
"682",0.0159048,0.999559,-0.00711963
"683",0.00751292,0.999271,0.0123676
"684",0.00668138,0.999016,0.010421
"685",-0.00727341,0.999095,0.00573236
"686",0.0107303,0.998923,0.00137407
"687",-0.0117711,0.999309,-0.016223
"688",0.00836419,0.999319,0.0133197
"689",-0.0081621,0.999482,-0.0104125
"690",0.00138811,0.998739,-0.0116977
"691",0.00995931,0.999157,0.00301655
"692",0.00767452,0.999399,0.0131463
"693",-0.00995207,0.999929,-0.0102922
"694",0.00170148,0.99952,-0.00419471
"695",0.0111166,0.999644,0.0133246
"696",0.00865638,0.99915,0.00272509
"697",0.00900601,0.998914,0.00432101
"698",0.00838711,0.998952,0.0133111
"699",-0.00872579,0.999417,0.00192744
"700",0.00990857,0.999319,0.00428943
"701",0.00880768,0.999144,0.0125019
"702",0.0122771,0.99909,0.00464153
"703",-0.00507848,0.9994,-0.0137289
"704",-0.0125658,0.999027,-0.0120748
"705",-0.0102775,0.999405,-0.0111873
"706",0.00350401,0.999193,0.009139
"707",0.013882,0.999758,0.00715011
"708",-0.00910987,0.99932,0.00465489
"709",-0.00937047,0.999339,0.00523302
"710",0.00862604,0.999096,-0.00425478
"711",0.000556443,0.999099,-0.00996379
"712",-0.0126209,0.999523,-4.53405e-06
"713",0.00829508,0.999258,0.0118882
"714",-0.0119406,0.999789,-0.0101322
"715",0.0101523,0.999277,0.00238357
"716",-0.00821398,0.999328,-0.0145616
"717",0.01207,0.999407,-0.00232157
"718",0.00743337,0.999786,0.00558463
"719",-0.00973096,0.99892,0.00156274
"720",-0.0108232,0.999192,-0.013799
"721",-0.0111105,0.999635,-0.0114279
"722",-0.00980911,0.99916,-0.0127435
"723",-0.0137638,0.999389,-0.0106314
"724",-0.0102217,0.999102,-0.0150453
"725",0.0127668,0.999717,-0.000195169
"726",-0.00235474,0.998559,-0.0130205
"727",0.0155249,0.998912,0.0160126
"728",-0.00958683,0.999618,-0.0150938
"729",0.00800066,0.999834,0.012767
"730",-0.003622,0.998361,-0.0146539
"731",-0.0111821,0.99967,0.00362654
"732",0.00864361,0.999128,0.00667648
"733",-0.0045789,0.998832,-0.0109898
"734",-0.0123532,0.999448,0.00471166
"735",0.00998456,0.999878,0.0148853
"736",0.00943512,0.999282,-0.00686061
"737",-0.00764556,0.999191,-0.00954695
